Date : 2025-03-22 23:01:37
Directory : /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend
Total : 221 files,  46379 codes, 4601 comments, 5575 blanks, all 56555 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/members/components/new_picture_post_interface.vue           | Vue                |        229 |         17 |         28 |        274 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/members/components/new_post_interface.vue                   | Vue                |        280 |         23 |         43 |        346 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/members/components/picture_post.vue                         | Vue                |         84 |          2 |         17 |        103 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/members/components/profile/EditIntro.vue                    | Vue                |         54 |          7 |         12 |         73 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/members/components/profile/EditProfilePicture.vue           | Vue                |         55 |          6 |         10 |         71 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/members/components/profile_post.vue                         | Vue                |         97 |         18 |         35 |        150 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/members/index.vue                                           | Vue                |         11 |          4 |          3 |         18 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/page-template/index.vue                                     | Vue                |         39 |          4 |          5 |         48 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/reset-password/index.vue                                    | Vue                |         87 |          7 |         12 |        106 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/shop/[products]/[id].vue                                    | Vue                |        287 |         42 |         23 |        352 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/shop/components/ProductCard.vue                             | Vue                |        392 |         23 |         41 |        456 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/shop/index.vue                                              | Vue                |        307 |         41 |         34 |        382 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/plugins/font-awesome.ts                                           | TypeScript         |         15 |          1 |          6 |         22 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/plugins/global_fetch.ts                                           | TypeScript         |         10 |          7 |          4 |         21 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/plugins/toast.js                                                  | JavaScript         |          5 |          1 |          6 |         12 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/accordion/index.js                   | JavaScript         |         57 |         12 |         10 |         79 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/autocomplete/index.js                | JavaScript         |        159 |         53 |         48 |        260 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/avatar/index.js                      | JavaScript         |         28 |          5 |          5 |         38 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/badge/index.js                       | JavaScript         |         33 |          5 |          6 |         44 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/badgedirective/index.js              | JavaScript         |         32 |          6 |          6 |         44 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/blockui/index.js                     | JavaScript         |          8 |          0 |          1 |          9 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/breadcrumb/index.js                  | JavaScript         |         38 |         15 |         12 |         65 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/button/index.js                      | JavaScript         |        140 |         52 |         29 |        221 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/calendar/index.js                    | JavaScript         |        413 |        130 |        101 |        644 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/card/index.js                        | JavaScript         |         29 |          5 |          4 |         38 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/carousel/index.js                    | JavaScript         |         97 |         31 |         22 |        150 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/cascadeselect/index.js               | JavaScript         |        137 |         40 |         33 |        210 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/checkbox/index.js                    | JavaScript         |         65 |         19 |         18 |        102 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/chip/index.js                        | JavaScript         |         29 |          9 |          8 |         46 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/chips/index.js                       | JavaScript         |         69 |         24 |         22 |        115 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/colorpicker/index.js                 | JavaScript         |         76 |         27 |         21 |        124 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/confirmpopup/index.js                | JavaScript         |         72 |         18 |         17 |        107 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/contextmenu/index.js                 | JavaScript         |         90 |         19 |         14 |        123 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/datatable/index.js                   | JavaScript         |        737 |        225 |        209 |      1,171 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/dataview/index.js                    | JavaScript         |         26 |          8 |          7 |         41 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/dialog/index.js                      | JavaScript         |        168 |         37 |         31 |        236 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/divider/index.js                     | JavaScript         |         49 |         10 |          9 |         68 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/dock/index.js                        | JavaScript         |         60 |         19 |         15 |         94 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/dropdown/index.js                    | JavaScript         |        172 |         52 |         42 |        266 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/fieldset/index.js                    | JavaScript         |         57 |         15 |         13 |         85 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/fileupload/index.js                  | JavaScript         |        120 |         29 |         25 |        174 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/floatlabel/index.js                  | JavaScript         |         20 |          3 |          4 |         27 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/galleria/index.js                    | JavaScript         |        212 |         51 |         44 |        307 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/global.js                            | JavaScript         |         84 |          0 |          7 |         91 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/iconfield/index.js                   | JavaScript         |         20 |          0 |          1 |         21 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/image/index.js                       | JavaScript         |        115 |         47 |         45 |        207 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/index.js                             | JavaScript         |        174 |          0 |          2 |        176 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/inlinemessage/index.js               | JavaScript         |         35 |          1 |          1 |         37 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/inplace/index.js                     | JavaScript         |         14 |          7 |          7 |         28 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/inputgroup/index.js                  | JavaScript         |          5 |          0 |          1 |          6 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/inputgroupaddon/index.js             | JavaScript         |         18 |          5 |          6 |         29 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/inputmask/index.js                   | JavaScript         |         22 |          6 |          7 |         35 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/inputnumber/index.js                 | JavaScript         |        107 |         30 |         28 |        165 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/inputswitch/index.js                 | JavaScript         |         54 |         13 |         14 |         81 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/inputtext/index.js                   | JavaScript         |         32 |          9 |          9 |         50 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/knob/index.js                        | JavaScript         |         28 |         10 |          7 |         45 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/listbox/index.js                     | JavaScript         |        101 |         29 |         23 |        153 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/megamenu/index.js                    | JavaScript         |        140 |         32 |         28 |        200 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/menu/index.js                        | JavaScript         |         73 |         18 |          6 |         97 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/menubar/index.js                     | JavaScript         |        119 |         31 |         27 |        177 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/message/index.js                     | JavaScript         |         64 |         14 |         10 |         88 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/metergroup/index.js                  | JavaScript         |         62 |         18 |         18 |         98 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/multiselect/index.js                 | JavaScript         |        348 |        107 |         92 |        547 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/orderlist/index.js                   | JavaScript         |        157 |         56 |         45 |        258 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/organizationchart/index.js           | JavaScript         |         85 |         30 |         24 |        139 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/overlaypanel/index.js                | JavaScript         |         32 |          4 |          5 |         41 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/paginator/index.js                   | JavaScript         |        320 |        110 |         98 |        528 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/panel/index.js                       | JavaScript         |         61 |         17 |         14 |         92 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/panelmenu/index.js                   | JavaScript         |         90 |         20 |         18 |        128 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/password/index.js                    | JavaScript         |         84 |         18 |         15 |        117 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/picklist/index.js                    | JavaScript         |        403 |        138 |        110 |        651 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/progressbar/index.js                 | JavaScript         |         36 |         11 |          9 |         56 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/progressspinner/index.js             | JavaScript         |         34 |         10 |          8 |         52 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/radiobutton/index.js                 | JavaScript         |         66 |         20 |         19 |        105 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/rating/index.js                      | JavaScript         |         57 |         20 |         16 |         93 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/ripple/index.js                      | JavaScript         |          6 |          0 |          1 |          7 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/scrollpanel/index.js                 | JavaScript         |         39 |         21 |         18 |         78 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/scrolltop/index.js                   | JavaScript         |         32 |          5 |          5 |         42 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/selectbutton/index.js                | JavaScript         |         34 |          9 |          7 |         50 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/sidebar/index.js                     | JavaScript         |        108 |         23 |         19 |        150 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/skeleton/index.js                    | JavaScript         |         12 |          2 |          3 |         17 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/slider/index.js                      | JavaScript         |         88 |         25 |         25 |        138 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/speeddial/index.js                   | JavaScript         |        177 |         66 |         40 |        283 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/splitbutton/index.js                 | JavaScript         |        308 |        126 |         69 |        503 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/splitter/index.js                    | JavaScript         |         41 |         11 |         10 |         62 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/steps/index.js                       | JavaScript         |         77 |         19 |         16 |        112 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tabmenu/index.js                     | JavaScript         |         51 |         11 |         12 |         74 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tabview/index.js                     | JavaScript         |        107 |         28 |         22 |        157 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tag/index.js                         | JavaScript         |         27 |          5 |          5 |         37 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/terminal/index.js                    | JavaScript         |         40 |         13 |          8 |         61 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/textarea/index.js                    | JavaScript         |         23 |          7 |          7 |         37 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tieredmenu/index.js                  | JavaScript         |         85 |         21 |         15 |        121 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/timeline/index.js                    | JavaScript         |         76 |          3 |          3 |         82 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/toast/index.js                       | JavaScript         |         74 |         13 |         10 |         97 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/togglebutton/index.js                | JavaScript         |         62 |         15 |         15 |         92 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/toolbar/index.js                     | JavaScript         |         21 |          4 |          4 |         29 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tooltip/index.js                     | JavaScript         |         36 |          6 |          5 |         47 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tree/index.js                        | JavaScript         |        161 |         51 |         44 |        256 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/treeselect/index.js                  | JavaScript         |        223 |         69 |         58 |        350 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/treetable/index.js                   | JavaScript         |        285 |         80 |         67 |        432 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tristatecheckbox/index.js            | JavaScript         |         67 |         20 |         18 |        105 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/public/assets/emails/new_user.html                                | HTML               |         43 |          0 |          0 |         43 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/render.yaml                                                       | YAML               |          7 |          0 |          1 |          8 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/boilerplate.post.ts                                    | TypeScript         |          3 |          0 |          1 |          4 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/chat/actions/send-message.post.ts                      | TypeScript         |          6 |         54 |         21 |         81 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/chat/hooks/relay.post.ts                               | TypeScript         |          9 |          0 |          2 |         11 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/chat/hooks/reply.post.ts                               | TypeScript         |         14 |          0 |          6 |         20 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/chat/update-user.post.ts                               | TypeScript         |          5 |          0 |          5 |         10 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/email/forgot-password.post.ts                          | TypeScript         |        137 |          7 |         14 |        158 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/email/new-user-confirmation.post.ts                    | TypeScript         |         79 |          2 |          7 |         88 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/email/reset-password.post.ts                           | TypeScript         |        125 |          5 |         11 |        141 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/feed/fetch.post.ts                                     | TypeScript         |        193 |         14 |         28 |        235 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/boilerplate.post.ts                             | TypeScript         |         20 |          0 |          9 |         29 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/create-card.post.ts                             | TypeScript         |         15 |          0 |          5 |         20 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/create-checkout.post.ts                         | TypeScript         |          0 |         45 |         13 |         58 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/create-customer.post.ts                         | TypeScript         |          0 |         29 |          5 |         34 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/customers/create-card.post.ts                   | TypeScript         |         25 |          0 |          6 |         31 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/list-catalog.post.ts                            | TypeScript         |          0 |         68 |         23 |         91 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/orders/pay-order.post.ts                        | TypeScript         |         36 |          0 |         10 |         46 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/orders/place-order.post.ts                      | TypeScript         |         43 |         12 |         17 |         72 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/pay-order.post.ts                               | TypeScript         |          0 |         40 |          8 |         48 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/payment.post.ts                                 | TypeScript         |          0 |         37 |          8 |         45 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/place-order.post.ts                             | TypeScript         |          0 |         60 |         14 |         74 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/products/list.post.ts                           | TypeScript         |        170 |          7 |         25 |        202 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/products/retrieve-item.post.ts                  | TypeScript         |         29 |          0 |          9 |         38 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/square/retrieve-item.post.ts                           | TypeScript         |          0 |         55 |         13 |         68 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/upload/images.post.ts                                  | TypeScript         |         47 |          6 |         14 |         67 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/user/add.post.ts                                       | TypeScript         |          8 |          0 |          3 |         11 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/user/update.post.ts                                    | TypeScript         |         26 |          0 |          6 |         32 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/user/update_password.ts                                | TypeScript         |         23 |         21 |          8 |         52 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/api/utils/secure-token.get.ts                              | TypeScript         |          6 |          0 |          5 |         11 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/index.js                                                   | JavaScript         |          0 |         17 |          9 |         26 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/routes/_ws.ts                                              | TypeScript         |         17 |          0 |          5 |         22 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/routes/sse.ts                                              | TypeScript         |         11 |          0 |          4 |         15 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/server/tsconfig.json                                              | JSON with Comments |          3 |          0 |          1 |          4 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/auth.js                                                    | JavaScript         |        443 |         10 |         23 |        476 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/chat.js                                                    | JavaScript         |        170 |          7 |         25 |        202 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/chatStore.js                                               | JavaScript         |         30 |          3 |          3 |         36 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/products.js                                                | JavaScript         |        152 |         11 |         24 |        187 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/stores/settings.js                                                | JavaScript         |         41 |          2 |          6 |         49 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/tailwind.config.js                                                | JavaScript         |         51 |          1 |          1 |         53 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/tsconfig.json                                                     | JSON with Comments |          3 |          1 |          1 |          5 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/utils/Icons.js                                                    | JavaScript         |         21 |         59 |         14 |         94 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/utils/detectBrowser.js                                            | JavaScript         |         18 |          0 |          1 |         19 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/utils/formatPrice.js                                              | JavaScript         |          9 |          0 |          0 |          9 |
| Total                                                                                                                          |                    |     46,379 |      4,601 |      5,575 |     56,555 |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
